Year,GDP Growth Rate,Real GDP,Nominal GDP,GDP per Capita,Inflation
1946,-11.60,1.96,0.23,13513.00,18.10
1947,-1.10,1.94,0.25,13649.00,8.80
1948,4.10,2.02,0.28,13537.00,3.00
1949,-0.50,2.01,0.27,13819.00,-2.10
1950,8.70,2.18,0.30,15029.00,5.90
1951,8.10,2.36,0.35,15532.00,6.00
1952,4.10,2.46,0.37,16221.00,0.80
1953,4.70,2.57,0.39,15664.00,0.70
1954,-0.60,2.56,0.39,16338.00,-0.70
1955,7.10,2.74,0.43,16568.00,0.40
1956,2.10,2.80,0.45,16770.00,3.00
1957,2.10,2.86,0.48,16016.00,2.90
1958,-0.70,2.84,0.48,16908.00,1.80
1959,6.90,3.03,0.52,17380.00,1.70
1960,2.60,3.11,0.54,16986.00,1.40
1961,2.60,3.19,0.56,17983.00,0.70
1962,6.10,3.38,0.61,18354.00,1.30
1963,4.40,3.53,0.64,19233.00,1.60
1964,5.80,3.73,0.69,20021.00,1.00
1965,6.50,3.98,0.74,21464.00,1.90
1966,6.60,4.24,0.82,21847.00,3.50
1967,2.70,4.36,0.86,22454.00,3.00
1968,4.90,4.57,0.94,23231.00,4.70
1969,3.10,4.71,1.02,23064.00,6.20
1970,0.20,4.72,1.08,23381.00,5.60
1971,3.30,4.88,1.17,23919.00,3.30
1972,5.20,5.13,1.28,25477.00,3.40
1973,5.60,5.42,1.43,25415.00,8.70
1974,-0.50,5.40,1.55,24601.00,12.30
1975,-0.20,5.39,1.69,25854.00,6.90
1976,5.40,5.68,1.88,26429.00,4.90
1977,4.60,5.94,2.09,27238.00,6.70
1978,5.60,6.27,2.36,28699.00,9.00
1979,3.20,6.47,2.63,28775.00,13.30
1980,-0.20,6.45,2.86,28957.00,12.50
1981,2.60,6.62,3.21,27982.00,8.90
1982,-1.90,6.49,3.35,28167.00,3.80
1983,4.60,6.79,3.64,30307.00,3.80
1984,7.30,7.29,4.04,31428.00,3.90
1985,4.20,7.59,4.35,32453.00,3.80
1986,3.50,7.86,4.59,33036.00,1.10
1987,3.50,8.13,4.87,34148.00,4.40
1988,4.20,8.48,5.25,35291.00,4.40
1989,3.70,8.79,5.66,35941.00,4.60
1990,1.90,8.96,5.98,35145.00,6.10
1991,-0.10,8.95,6.17,35694.00,3.10
1992,3.60,9.27,6.54,36381.00,2.90
1993,2.70,9.52,6.88,37171.00,2.70
1994,4.00,9.91,7.31,38008.00,2.70
1995,2.70,10.18,7.66,38544.00,2.50
1996,3.80,10.56,8.10,39825.00,3.30
1997,4.50,11.04,8.61,41176.00,1.70
1998,4.50,11.53,9.09,42663.00,1.60
1999,4.70,12.07,9.66,43935.00,2.70
2000,4.10,12.56,10.29,44492.00,3.40
2001,1.00,12.68,10.62,44687.00,1.60
2002,1.80,12.91,10.98,44996.00,2.40
2003,2.80,13.27,11.51,46560.00,1.90
2004,3.80,13.77,12.28,47800.00,3.30
2005,3.30,14.23,13.09,48856.00,3.40
2006,2.70,14.61,13.86,48987.00,2.50
2007,1.80,14.87,14.48,49060.00,4.10
2008,-0.30,14.83,14.72,46941.00,0.10
2009,-2.80,14.42,14.42,47280.00,2.70
2010,2.50,14.78,14.96,47806.00,1.50
2011,1.60,15.02,15.52,48757.00,3.00
2012,2.20,15.36,16.16,49039.0,1.70
2013,1.70,15.61,16.69,49472.00,1.50
2014,2.40,15.98,17.39,50718.00,0.80
2015,2.60,16.40,18.04,51123.00,0.70
2016,1.60,16.66,18.56,57300.00,2.10
